,1A,33A,19A,88A,83A,97A,11A,26A,69A,12A,82A,143F,6A,85A,143G,13A,144A,51A,86A,81A,2A,4A,95A,143A,143E,87A,5A,7A,18A,8A,3A
vie,3,7,1,2,2,4,1,1,5,2,1,4,1,2,4,3,2,9,2,2,3,3,4,1,1,2,1,3,1,2,1
anc,4,7,1,2,2,4,1,1,5,3,1,1,1,2,4,3,4,9,2,2,3,4,4,2,4,2,2,3,1,2,4
hzb,5,2,4,1,1,1,1,2,2,2,1,2,4,1,4,1,20,1,1,1,3,4,1,4,4,1,2,2,1,4,3
ram,2,8,1,1,1,2,1,4,2,2,1,2,1,1,4,1,16,9,1,1,1,2,1,8,1,2,2,1,1,2,4
bul,3,2,1,1,2,3,1,2,2,3,3,4,1,2,4,1,2,9,3,2,2,4,4,1,1,1,2,1,1,2,3
nti,5,4,3,1,3,5,1,4,2,1,1,4,1,1,4,3,16,9,1,7,3,4,5,1,1,1,2,3,1,2,4
bag,4,8,1,2,2,4,1,3,4,2,1,1,1,2,4,3,4,9,2,2,3,2,4,2,4,2,2,3,1,2,3
ttu,5,2,4,1,1,1,1,2,2,3,1,4,4,1,4,1,7,1,1,1,2,4,1,1,1,1,1,2,1,4,5
knr,3,2,1,2,1,2,1,2,2,2,1,2,1,1,4,2,20,6,2,1,3,4,1,4,4,2,3,1,1,2,3
bre,3,2,1,2,2,4,2,3,2,3,2,1,1,2,4,1,18,7,2,2,3,4,4,14,1,2,2,1,1,2,3
rap,1,7,1,2,2,4,1,1,5,1,2,4,1,2,4,1,19,9,2,3,2,1,4,15,1,2,1,1,1,1,2
wch,3,2,1,2,2,4,1,4,2,2,1,2,2,2,4,1,16,9,1,2,2,1,4,8,1,2,1,6,1,2,3
pur,4,2,1,1,2,4,1,2,2,2,1,4,1,4,4,1,21,1,3,2,2,2,5,1,1,2,2,1,1,2,4
alb,3,2,5,1,2,4,3,2,2,3,1,4,1,2,4,1,2,1,2,2,3,4,4,1,1,2,2,1,1,2,3
sup,3,2,1,1,1,2,1,3,4,2,1,1,1,1,4,3,19,9,1,1,3,4,1,15,1,2,4,1,1,2,3
ger,3,2,1,1,3,5,2,2,2,3,1,1,3,2,4,1,16,1,2,7,3,4,5,6,1,1,2,1,1,2,1
tuk,3,9,1,2,2,4,1,5,1,1,2,4,1,2,4,1,12,9,2,4,2,1,4,1,1,2,1,3,1,2,3
dre,4,7,5,2,2,4,1,1,5,2,3,4,1,2,4,1,16,9,2,7,3,4,4,1,1,2,2,1,1,2,3
kob,3,2,1,2,1,2,1,2,2,2,1,2,1,1,4,1,20,9,1,1,3,1,1,4,4,2,1,1,1,2,2
yap,3,7,5,2,2,4,1,1,5,2,2,4,1,2,4,1,9,9,2,3,3,2,4,1,1,2,2,6,1,2,3
khs,3,7,1,1,2,4,1,1,5,3,1,4,1,2,4,1,2,9,2,2,2,2,4,1,1,2,4,1,1,2,3
lad,4,2,1,1,1,2,1,2,2,3,1,2,1,1,4,1,20,1,1,1,2,4,1,11,2,2,2,1,1,2,5
goo,3,8,1,1,1,2,1,5,1,2,1,4,1,3,4,1,21,8,3,7,1,1,5,1,1,2,1,1,3,2,4
nar,3,2,1,2,1,2,1,2,2,2,1,4,1,1,4,2,7,6,1,1,2,2,1,1,1,2,3,1,1,2,3
mku,1,9,1,2,1,2,1,1,5,3,1,1,1,1,4,1,19,9,1,1,2,1,1,15,1,2,1,1,3,2,2
kor,3,2,1,1,1,1,1,2,2,2,1,4,1,1,4,1,7,1,1,1,3,1,1,1,1,1,1,2,1,2,2
fin,2,2,1,1,2,3,2,2,2,2,1,4,1,1,4,1,2,1,1,2,3,4,3,1,1,1,2,1,1,2,2
gbb,4,7,3,2,2,3,1,2,2,2,1,1,1,2,4,2,19,9,2,2,3,4,4,15,1,1,2,3,1,2,3
hve,3,1,5,1,2,3,1,4,4,2,2,4,1,2,4,2,21,9,2,2,2,2,4,1,1,1,4,1,1,2,3
ckr,1,9,1,2,1,2,1,1,5,3,1,1,1,1,4,1,8,9,1,1,3,1,1,2,4,2,1,1,1,2,1
ao,1,2,1,2,1,2,1,3,2,2,1,2,1,1,4,3,19,6,1,1,2,3,1,15,2,2,1,1,1,2,2
car,2,2,1,1,1,1,1,4,2,2,1,2,1,1,4,1,20,9,1,1,2,2,1,4,4,1,2,1,1,1,2
hun,4,2,1,1,2,3,2,2,2,3,1,4,1,1,4,1,2,1,1,7,3,4,3,1,1,1,2,1,1,2,3
tgk,1,7,1,2,2,4,1,1,5,2,1,4,1,2,4,1,2,9,2,2,2,2,4,1,1,2,1,1,1,5,2
ytu,3,2,1,3,1,1,4,2,2,3,1,4,4,1,4,1,20,1,1,1,2,2,1,3,2,1,2,1,1,2,3
arp,2,2,1,1,2,3,1,5,1,2,1,1,1,2,4,1,19,9,3,2,3,2,4,15,1,1,2,1,1,2,2
cyv,2,8,1,1,2,3,1,5,4,1,2,4,1,2,4,1,20,7,2,4,3,2,4,3,2,1,4,1,1,1,2
nav,4,2,1,1,1,2,1,6,1,2,1,4,1,1,4,2,16,9,1,1,1,3,1,1,1,2,1,2,1,4,5
bur,5,2,1,1,1,1,1,3,2,3,1,4,4,1,4,1,20,1,1,1,2,4,1,3,2,1,2,1,1,2,5
mro,3,1,5,2,2,4,1,5,1,2,1,4,1,4,4,2,2,5,2,2,3,2,5,1,1,2,2,1,1,2,3
sdw,5,2,2,1,1,2,1,2,2,2,1,2,1,1,4,2,20,6,1,1,2,2,1,4,4,2,2,2,1,4,5
fur,2,6,1,1,1,2,1,3,2,2,1,2,1,1,4,2,18,1,1,1,2,2,1,14,2,2,3,1,1,2,2
amh,4,2,1,1,1,1,1,3,4,2,1,2,1,4,4,1,18,1,1,1,3,2,5,14,2,1,2,2,1,2,4
nug,3,1,1,1,3,5,1,4,2,2,3,4,1,5,4,1,21,1,3,7,1,1,5,1,1,3,1,1,3,2,4
nht,2,2,1,1,2,4,1,4,2,2,3,4,1,2,4,1,21,9,2,2,2,1,4,1,1,2,1,1,1,1,3
nan,1,2,1,4,2,4,1,4,4,2,2,4,1,2,4,2,20,3,2,3,3,1,4,3,2,2,1,1,1,2,1
llm,3,1,3,2,2,4,1,6,1,1,1,4,1,1,4,2,20,9,1,2,3,4,3,3,2,2,2,1,1,2,3
mal,4,9,1,5,2,4,1,1,1,2,2,4,1,2,4,1,12,7,2,4,1,4,4,1,1,2,2,1,1,2,5
prh,1,9,1,2,1,2,1,2,2,1,1,2,1,1,4,2,20,1,1,1,1,2,1,4,4,2,1,1,4,1,2
klm,4,6,1,1,3,5,1,2,2,3,3,4,2,1,4,1,21,1,1,7,1,2,5,1,1,1,2,6,1,2,5
akn,3,6,1,2,2,4,1,6,1,2,1,4,1,4,4,2,20,9,1,2,3,2,5,3,2,2,2,1,1,1,2
kya,1,5,1,6,1,2,1,2,2,2,1,4,1,2,4,1,21,1,3,1,1,1,2,1,1,2,1,1,3,2,3
map,3,7,5,1,2,3,1,2,2,2,2,2,1,4,4,1,20,1,1,2,2,1,5,4,4,1,1,1,1,2,3
luo,4,2,1,2,2,4,1,4,1,2,1,4,1,2,4,2,16,9,2,2,3,2,4,1,1,2,2,1,1,2,3
ngz,5,2,1,2,2,4,1,2,2,2,1,1,1,2,4,2,4,9,2,2,2,4,4,2,4,2,2,3,1,4,5
jpn,2,2,1,1,1,1,1,2,2,2,1,2,3,1,4,2,20,6,1,1,2,4,1,4,4,1,2,1,1,1,3
ame,2,6,3,2,1,2,1,2,2,2,1,2,1,1,4,1,19,9,1,1,2,2,1,15,1,2,3,1,1,2,3
eng,3,2,5,1,2,3,1,2,2,3,1,4,1,2,4,1,2,9,3,2,3,4,4,1,1,1,2,1,1,2,1
shi,1,7,1,1,1,2,1,2,2,2,1,1,1,1,4,1,8,1,1,1,2,1,1,2,4,2,1,1,1,1,2
swa,4,1,5,2,2,4,1,5,1,1,1,4,1,2,4,1,20,5,2,2,2,4,4,3,2,2,2,1,1,2,4
