blog_title,contribution_pk,description,id,jsondata,markup_description,name,ordinal_qualifier,pk,representation
,30,,30A,{},,Number of Genders,A,30,257
,31,,31A,{},,Sex-based and Non-sex-based Gender Systems,A,31,257
,32,,32A,{},,Systems of Gender Assignment,A,32,257
,33,,33A,{},,Coding of Nominal Plurality,A,33,1066
,34,,34A,{},,Occurrence of Nominal Plurality,A,34,291
,35,,35A,{},,Plurality in Independent Personal Pronouns,A,35,261
,36,,36A,{},,The Associative Plural,A,36,236
,37,,37A,{},,Definite Articles,A,37,620
,38,,38A,{},,Indefinite Articles,A,38,534
,39,,39A,{},,Inclusive/Exclusive Distinction in Independent Pronouns,A,39,200
,39,,39B,{},,Inclusive/Exclusive Forms in Pama-Nyungan,B,182,71
,40,,40A,{},,Inclusive/Exclusive Distinction in Verbal Inflection,A,40,200
,41,,41A,{},,Distance Contrasts in Demonstratives,A,41,234
,42,,42A,{},,Pronominal and Adnominal Demonstratives,A,42,201
,43,,43A,{},,Third Person Pronouns and Demonstratives,A,43,225
,44,,44A,{},,Gender Distinctions in Independent Personal Pronouns,A,44,378
,45,,45A,{},,Politeness Distinctions in Pronouns,A,45,207
,46,,46A,{},,Indefinite Pronouns,A,46,326
,47,,47A,{},,Intensifiers and Reflexive Pronouns,A,47,168
,48,,48A,{},,Person Marking on Adpositions,A,48,378
,49,,49A,{},,Number of Cases,A,49,261
,50,,50A,{},,Asymmetrical Case-Marking,A,50,261
,51,,51A,{},,Position of Case Affixes,A,51,1031
,52,,52A,{},,Comitatives and Instrumentals,A,52,322
,53,,53A,{},,Ordinal Numerals,A,53,321
,54,,54A,{},,Distributive Numerals,A,54,251
,55,,55A,{},,Numeral Classifiers,A,55,400
,56,,56A,{},,Conjunctions and Universal Quantifiers,A,56,116
,57,,57A,{},,Position of Pronominal Possessive Affixes,A,57,902
