blog_title,contribution_pk,description,id,jsondata,markup_description,name,ordinal_qualifier,pk,representation
,65,,65A,{},,Perfective/Imperfective Aspect,A,65,222
,66,,66A,{},,The Past Tense,A,66,222
,67,,67A,{},,The Future Tense,A,67,222
,68,,68A,{},,The Perfect,A,68,222
,69,,69A,{},,Position of Tense-Aspect Affixes,A,69,1131
,70,,70A,{},,The Morphological Imperative,A,70,547
,71,,71A,{},,The Prohibitive,A,71,495
,72,,72A,{},,Imperative-Hortative Systems,A,72,375
,73,,73A,{},,The Optative,A,73,319
,74,,74A,{},,Situational Possibility,A,74,234
,75,,75A,{},,Epistemic Possibility,A,75,240
,76,,76A,{},,Overlap between Situational and Epistemic Modal Marking,A,76,207
,77,,77A,{},,Semantic Distinctions of Evidentiality,A,77,418
,78,,78A,{},,Coding of Evidentiality,A,78,418
,79,,79A,{},,Suppletion According to Tense and Aspect,A,79,193
,79,,79B,{},,Suppletion in Imperatives and Hortatives,B,192,193
,80,,80A,{},,Verbal Number and Suppletion,A,80,193
