,26A,27A,23A,24A,25A,25B,28A,29A
ckr,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2
arp,5.0,1.0,1.0,2.0,5.0,2.0,1.0,3
bsq,4.0,1.0,3.0,2.0,5.0,2.0,2.0,3
war,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1
kse,1.0,,,,,,1.0,1
may,6.0,1.0,4.0,2.0,5.0,2.0,1.0,3
mao,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1
mun,2.0,,3.0,2.0,5.0,2.0,1.0,3
tag,1.0,1.0,3.0,5.0,5.0,2.0,1.0,1
mei,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1
orh,2.0,1.0,4.0,5.0,5.0,2.0,2.0,2
ond,5.0,3.0,1.0,1.0,1.0,2.0,,3
mau,5.0,1.0,1.0,4.0,5.0,2.0,1.0,3
coo,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3
imo,,,3.0,3.0,3.0,2.0,4.0,1
lav,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2
eve,2.0,3.0,2.0,3.0,5.0,2.0,4.0,3
ame,2.0,1.0,1.0,2.0,5.0,2.0,1.0,2
aeg,3.0,1.0,4.0,4.0,5.0,2.0,1.0,2
yim,4.0,1.0,1.0,2.0,5.0,2.0,1.0,2
sla,6.0,3.0,1.0,1.0,1.0,2.0,1.0,3
ala,2.0,1.0,1.0,2.0,5.0,2.0,1.0,3
lan,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2
hmo,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1
rus,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3
koa,4.0,1.0,3.0,1.0,5.0,2.0,4.0,3
niv,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2
gua,6.0,,1.0,1.0,1.0,2.0,1.0,3
heb,3.0,1.0,2.0,2.0,5.0,2.0,1.0,2
lat,3.0,,,,,,3.0,2
yor,1.0,1.0,3.0,1.0,5.0,2.0,4.0,1
kha,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1
kob,2.0,,4.0,4.0,5.0,2.0,1.0,2
prh,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1
jpn,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
tha,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1
knd,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2
juh,1.0,,4.0,4.0,4.0,1.0,1.0,1
grk,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3
yaq,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1
mnd,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1
cmn,2.0,1.0,,,,,3.0,1
bag,3.0,2.0,1.0,4.0,5.0,2.0,1.0,2
rap,1.0,2.0,3.0,2.0,5.0,2.0,1.0,1
wch,4.0,3.0,3.0,1.0,5.0,2.0,1.0,3
squ,2.0,1.0,3.0,1.0,5.0,2.0,1.0,3
hix,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2
zul,6.0,2.0,1.0,2.0,5.0,2.0,1.0,2
qim,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3
nen,2.0,,3.0,2.0,5.0,2.0,3.0,2
vie,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1
geo,3.0,1.0,3.0,2.0,5.0,2.0,3.0,3
kfe,3.0,3.0,,,,,1.0,1
myi,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3
dag,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2
ram,4.0,,3.0,5.0,5.0,2.0,1.0,1
ger,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2
tuk,5.0,1.0,4.0,2.0,5.0,2.0,1.0,3
khs,1.0,1.0,,,,,1.0,1
nug,4.0,1.0,3.0,2.0,5.0,2.0,4.0,2
eng,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2
swa,5.0,1.0,1.0,2.0,5.0,2.0,1.0,2
tru,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1
cre,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3
apu,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3
grw,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3
ewe,4.0,1.0,4.0,2.0,5.0,1.0,1.0,2
yko,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2
kro,5.0,3.0,4.0,2.0,5.0,2.0,3.0,3
hau,1.0,1.0,3.0,2.0,5.0,2.0,4.0,1
arm,2.0,2.0,,,,,3.0,3
ngi,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1
mrt,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1
map,2.0,,3.0,1.0,5.0,2.0,1.0,3
san,6.0,,4.0,2.0,5.0,2.0,1.0,3
grb,2.0,,2.0,2.0,2.0,2.0,1.0,3
asm,2.0,1.0,1.0,4.0,5.0,2.0,1.0,3
yag,2.0,3.0,5.0,1.0,5.0,2.0,1.0,1
luv,6.0,1.0,1.0,2.0,5.0,2.0,1.0,2
snm,1.0,,1.0,2.0,5.0,2.0,1.0,1
spa,2.0,3.0,3.0,2.0,5.0,2.0,3.0,2
fin,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3
mxc,6.0,,4.0,4.0,5.0,2.0,1.0,3
kio,4.0,3.0,1.0,1.0,5.0,2.0,1.0,2
prs,3.0,1.0,3.0,1.0,5.0,2.0,1.0,3
pai,4.0,1.0,3.0,3.0,3.0,2.0,4.0,3
bur,3.0,,3.0,3.0,3.0,2.0,3.0,2
mal,1.0,1.0,2.0,5.0,5.0,2.0,1.0,3
fre,2.0,3.0,4.0,2.0,5.0,2.0,3.0,2
tiw,6.0,1.0,1.0,4.0,5.0,2.0,1.0,2
kew,2.0,,2.0,2.0,2.0,2.0,1.0,2
aco,4.0,,1.0,1.0,1.0,2.0,1.0,3
tab,1.0,,,,,,1.0,3
kor,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1
hun,2.0,1.0,2.0,1.0,5.0,2.0,4.0,3
bma,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3
dni,2.0,,1.0,3.0,5.0,2.0,1.0,2
lkt,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3
mar,4.0,1.0,3.0,1.0,5.0,2.0,4.0,3
khm,1.0,1.0,,,,,1.0,1
knr,2.0,1.0,3.0,2.0,5.0,2.0,1.0,3
goo,5.0,1.0,3.0,2.0,5.0,2.0,1.0,3
fij,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1
hin,2.0,1.0,3.0,2.0,5.0,2.0,3.0,2
sup,3.0,,4.0,1.0,5.0,1.0,1.0,1
krk,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2
wic,5.0,3.0,1.0,1.0,1.0,2.0,1.0,3
ket,5.0,,1.0,1.0,1.0,2.0,4.0,2
shk,2.0,,2.0,2.0,2.0,2.0,1.0,1
lez,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1
kut,3.0,3.0,3.0,1.0,5.0,2.0,1.0,3
klv,5.0,1.0,,,,,1.0,3
ain,4.0,2.0,4.0,1.0,5.0,2.0,1.0,3
tur,2.0,1.0,2.0,3.0,5.0,2.0,4.0,3
hzb,2.0,1.0,,,,,4.0,3
wra,3.0,,2.0,5.0,5.0,2.0,2.0,1
irq,2.0,,,,,,1.0,2
kay,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1
pau,4.0,1.0,3.0,1.0,5.0,2.0,2.0,3
cha,1.0,1.0,2.0,1.0,5.0,2.0,1.0,3
epe,2.0,1.0,2.0,4.0,5.0,2.0,4.0,1
jak,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3
chk,3.0,1.0,3.0,4.0,5.0,2.0,3.0,2
brm,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
awp,2.0,3.0,3.0,2.0,5.0,2.0,1.0,2
kho,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2
hai,2.0,,4.0,1.0,5.0,1.0,1.0,1
abk,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3
ind,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1
