,64A,58A,59A,58B,63A
ckr,2.0,1.0,1.0,1.0,2.0
arp,,2.0,1.0,1.0,
bsq,1.0,2.0,1.0,1.0,1.0
war,1.0,2.0,3.0,1.0,
kse,2.0,,,,
may,1.0,2.0,2.0,1.0,
mao,2.0,2.0,1.0,1.0,2.0
mun,1.0,,,,1.0
tag,1.0,2.0,1.0,1.0,1.0
mei,2.0,2.0,1.0,1.0,1.0
orh,2.0,2.0,2.0,1.0,1.0
ond,,2.0,1.0,1.0,
mau,,2.0,2.0,1.0,
coo,1.0,,,,1.0
imo,2.0,2.0,2.0,1.0,
lav,1.0,2.0,1.0,1.0,
eve,1.0,1.0,1.0,1.0,
ame,2.0,2.0,4.0,1.0,2.0
aeg,1.0,2.0,1.0,1.0,1.0
yim,3.0,2.0,1.0,1.0,
sla,2.0,2.0,3.0,1.0,1.0
ala,2.0,2.0,1.0,1.0,1.0
lan,2.0,2.0,2.0,1.0,
hmo,1.0,2.0,1.0,1.0,
rus,1.0,2.0,1.0,1.0,1.0
koa,2.0,1.0,2.0,1.0,
niv,2.0,,,,
gua,1.0,2.0,1.0,2.0,1.0
heb,1.0,2.0,1.0,1.0,1.0
lat,1.0,,,,1.0
yor,2.0,2.0,1.0,1.0,2.0
kha,,2.0,1.0,1.0,1.0
kob,2.0,2.0,2.0,1.0,2.0
prh,1.0,2.0,1.0,1.0,
jpn,2.0,2.0,1.0,1.0,2.0
tha,1.0,2.0,1.0,1.0,1.0
knd,2.0,2.0,1.0,1.0,1.0
juh,2.0,2.0,3.0,1.0,1.0
grk,1.0,2.0,1.0,1.0,1.0
yaq,1.0,2.0,1.0,1.0,1.0
mnd,2.0,2.0,1.0,1.0,2.0
cmn,,,,,
bag,2.0,2.0,1.0,1.0,
rap,,2.0,2.0,1.0,
wch,2.0,1.0,3.0,1.0,
squ,1.0,2.0,1.0,1.0,1.0
hix,3.0,1.0,1.0,1.0,1.0
zul,2.0,2.0,1.0,1.0,2.0
qim,1.0,2.0,1.0,1.0,1.0
nen,,2.0,1.0,1.0,2.0
vie,1.0,2.0,1.0,1.0,1.0
geo,1.0,2.0,1.0,1.0,1.0
kfe,2.0,,,,
myi,2.0,2.0,2.0,1.0,1.0
dag,,2.0,2.0,1.0,1.0
ram,,2.0,2.0,1.0,
ger,1.0,2.0,1.0,1.0,
tuk,1.0,2.0,2.0,1.0,
khs,1.0,2.0,1.0,1.0,2.0
nug,,2.0,2.0,1.0,
eng,1.0,2.0,1.0,1.0,1.0
swa,,2.0,1.0,1.0,2.0
tru,2.0,2.0,3.0,2.0,
cre,,1.0,1.0,1.0,1.0
apu,3.0,2.0,1.0,1.0,
grw,1.0,2.0,1.0,1.0,2.0
ewe,,2.0,2.0,1.0,2.0
yko,2.0,2.0,2.0,1.0,1.0
kro,2.0,2.0,2.0,1.0,
hau,2.0,2.0,1.0,1.0,2.0
arm,,2.0,1.0,1.0,1.0
ngi,,2.0,2.0,1.0,
mrt,,2.0,2.0,1.0,
map,1.0,2.0,1.0,1.0,1.0
san,1.0,2.0,1.0,1.0,2.0
grb,,2.0,1.0,1.0,
asm,,1.0,2.0,1.0,1.0
yag,3.0,2.0,1.0,1.0,
luv,2.0,2.0,2.0,1.0,
snm,3.0,2.0,2.0,1.0,
spa,1.0,2.0,1.0,1.0,1.0
fin,1.0,2.0,1.0,1.0,1.0
mxc,1.0,2.0,1.0,1.0,
kio,,2.0,2.0,1.0,1.0
prs,1.0,2.0,1.0,1.0,1.0
pai,2.0,2.0,1.0,1.0,
bur,1.0,1.0,3.0,1.0,1.0
mal,,2.0,1.0,1.0,1.0
fre,1.0,2.0,1.0,1.0,1.0
tiw,3.0,1.0,2.0,1.0,1.0
kew,,2.0,1.0,1.0,
aco,1.0,1.0,1.0,1.0,
tab,1.0,,,,
kor,2.0,2.0,1.0,1.0,1.0
hun,1.0,2.0,1.0,1.0,1.0
bma,2.0,2.0,2.0,1.0,2.0
dni,,1.0,2.0,1.0,
lkt,1.0,2.0,2.0,1.0,1.0
mar,2.0,2.0,3.0,1.0,
khm,,,,,1.0
knr,2.0,2.0,1.0,1.0,2.0
goo,3.0,2.0,2.0,1.0,
fij,2.0,2.0,1.0,3.0,2.0
hin,1.0,2.0,1.0,1.0,1.0
sup,2.0,2.0,1.0,1.0,
krk,2.0,1.0,1.0,1.0,
wic,,2.0,1.0,1.0,
ket,1.0,2.0,1.0,1.0,1.0
shk,,,,,
lez,1.0,2.0,1.0,1.0,1.0
kut,1.0,1.0,1.0,1.0,
klv,,,,,
ain,2.0,2.0,1.0,1.0,1.0
tur,1.0,2.0,1.0,1.0,1.0
hzb,1.0,,,,
wra,3.0,2.0,1.0,1.0,
irq,1.0,,,,
kay,,2.0,2.0,1.0,
pau,,2.0,2.0,1.0,
cha,1.0,2.0,1.0,3.0,2.0
epe,,1.0,1.0,1.0,
jak,2.0,2.0,1.0,1.0,2.0
chk,1.0,2.0,1.0,1.0,1.0
brm,,2.0,1.0,1.0,2.0
awp,,2.0,1.0,1.0,
kho,1.0,1.0,2.0,1.0,1.0
hai,2.0,1.0,2.0,1.0,
abk,1.0,2.0,1.0,1.0,1.0
ind,1.0,2.0,1.0,1.0,2.0
