,69A,70A,71A,77A,78A,72A,73A,75A,74A,65A,66A,67A,68A,76A,79A,80A,79B
ckr,5.0,4.0,1.0,1.0,1.0,4.0,,3.0,,2.0,2.0,2.0,4.0,,4.0,3.0,5.0
arp,1.0,1.0,2.0,1.0,1.0,4.0,2.0,,,2.0,4.0,1.0,4.0,,4.0,1.0,5.0
bsq,4.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
war,5.0,5.0,2.0,1.0,1.0,,2.0,2.0,,2.0,4.0,2.0,4.0,,4.0,3.0,5.0
kse,5.0,1.0,4.0,1.0,1.0,3.0,2.0,,2.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0
may,5.0,5.0,2.0,1.0,1.0,4.0,2.0,,2.0,2.0,4.0,2.0,4.0,,4.0,1.0,5.0
mao,5.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,5.0
mun,2.0,1.0,4.0,1.0,1.0,,1.0,3.0,2.0,,,,,3.0,1.0,1.0,5.0
tag,1.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0
mei,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,2.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0
orh,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0
ond,4.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,5.0
mau,2.0,1.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,5.0
coo,2.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,,,,,,2.0,,,
imo,2.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,5.0
lav,2.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0
eve,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,5.0
ame,2.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,5.0
aeg,4.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0
yim,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,5.0
sla,1.0,5.0,,2.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0
ala,2.0,1.0,4.0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,4.0,,1.0,1.0,5.0
lan,3.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0
hmo,5.0,5.0,2.0,1.0,1.0,4.0,2.0,,2.0,2.0,4.0,2.0,4.0,,,,
rus,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0
