,83A,82A,81A,87A,143F,143E,143A,143G,97A,86A,88A,144A,85A,89A,95A,93A,92A,96A,90A,94A,90C,144B,144L,84A,144S,91A,144D,144J,144K,144I,144H,144R,144P,144Q,90B
ckr,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,8.0,1.0,,1.0,1.0,1.0,5.0,7.0,,3.0,4.0,4.0,3.0,1.0,,,,,,,8.0,4.0,4.0,
arp,2,1,2.0,1.0,1.0,1.0,15.0,4.0,3.0,3.0,1.0,19.0,2.0,1.0,4.0,2.0,2.0,,,5.0,,3.0,,,,,15.0,7.0,3.0,3.0,4.0,,,,
bsq,1,1,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,,3.0,3.0,3.0,11.0,1.0,,,,,,1.0,4.0,4.0,1.0
war,2,2,4.0,,4.0,1.0,1.0,4.0,,2.0,2.0,12.0,2.0,4.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,1.0,,3.0,,,,,,,,,
kse,1,1,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,11.0,,,,,,,8.0,4.0,1.0,
may,2,1,2.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,,1.0,,2.0,4.0,7.0,1.0,8.0,4.0,,,,
mao,2,2,3.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,6.0,1.0,2.0,2.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,,1.0,,2.0,8.0,7.0,4.0,8.0,1.0,,,,
mun,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,,3.0,3.0,,11.0,3.0,,,,,,1.0,4.0,4.0,1.0
tag,2,2,3.0,3.0,4.0,1.0,1.0,4.0,5.0,2.0,6.0,9.0,,1.0,,1.0,3.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
mei,1,1,,3.0,2.0,4.0,4.0,4.0,5.0,1.0,2.0,20.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,,,21.0,,,,,,,,,,,,1.0
